set,z,num
3,20.0,0.0
4,20.0,0.0
5,20.0,0.0
6,20.0,0.0
7,20.0,0.0
8,20.0,0.0
9,20.0,0.0
10,20.0,0.0
11,20.0,0.0
12,20.0,0.0
1,20.25,0.0
2,20.25,0.0
3,20.25,0.0
4,20.25,0.0
5,20.25,0.0
6,20.25,0.0
7,20.25,0.0
8,20.25,0.0
9,20.25,0.0
10,20.25,0.0
11,20.25,0.0
12,20.25,0.0
1,20.5,0.0
2,20.5,0.0
3,20.5,0.0
4,20.5,0.0
5,20.5,0.0
6,20.5,0.0
7,20.5,0.0
8,20.5,0.0
9,20.5,0.0
10,20.5,0.0
11,20.5,0.0
12,20.5,0.0
1,20.75,0.0
2,20.75,1.0
3,20.75,0.0
4,20.75,0.0
5,20.75,0.0
6,20.75,0.0
7,20.75,0.0
8,20.75,0.0
9,20.75,0.0
10,20.75,1.0
11,20.75,0.0
12,20.75,0.0
1,21.0,0.0
2,21.0,0.0
3,21.0,0.0
4,21.0,0.0
5,21.0,0.0
6,21.0,0.0
7,21.0,0.0
8,21.0,0.0
9,21.0,0.0
10,21.0,0.0
11,21.0,0.0
12,21.0,0.0
1,21.25,0.0
2,21.25,0.0
3,21.25,0.0
4,21.25,0.0
5,21.25,0.0
6,21.25,0.0
7,21.25,0.0
8,21.25,0.0
9,21.25,0.0
10,21.25,0.0
11,21.25,0.0
12,21.25,0.0
1,21.5,0.0
2,21.5,1.0
3,21.5,0.0
4,21.5,1.0
5,21.5,0.0
6,21.5,0.0
7,21.5,0.0
8,21.5,0.0
9,21.5,1.0
10,21.5,0.0
11,21.5,0.0
12,21.5,0.0
1,21.75,0.0
2,21.75,2.0
3,21.75,0.0
4,21.75,0.0
5,21.75,0.0
6,21.75,0.0
7,21.75,0.0
8,21.75,0.0
9,21.75,0.0
10,21.75,2.0
11,21.75,0.0
12,21.75,0.0
1,22.0,0.0
2,22.0,2.0
3,22.0,0.0
4,22.0,1.0
5,22.0,0.0
6,22.0,0.0
7,22.0,0.0
8,22.0,0.0
9,22.0,1.0
10,22.0,0.0
11,22.0,0.0
12,22.0,0.0
1,22.25,0.0
2,22.25,1.0
3,22.25,0.0
4,22.25,2.0
5,22.25,0.0
6,22.25,0.0
7,22.25,0.0
8,22.25,0.0
9,22.25,0.0
10,22.25,0.0
11,22.25,0.0
12,22.25,0.0
1,22.5,0.0
2,22.5,1.0
3,22.5,0.0
4,22.5,3.0
5,22.5,0.0
6,22.5,0.0
7,22.5,0.0
8,22.5,0.0
9,22.5,0.0
10,22.5,1.0
11,22.5,0.0
12,22.5,0.0
1,22.75,0.0
2,22.75,5.0
3,22.75,0.0
4,22.75,4.0
5,22.75,0.0
6,22.75,0.0
7,22.75,0.0
8,22.75,0.0
9,22.75,1.0
10,22.75,1.0
11,22.75,0.0
12,22.75,0.0
1,23.0,0.0
2,23.0,1.0
3,23.0,0.0
4,23.0,1.0
5,23.0,0.0
6,23.0,0.0
7,23.0,0.0
8,23.0,0.0
9,23.0,0.0
10,23.0,0.0
11,23.0,0.0
12,23.0,0.0
1,23.25,0.0
2,23.25,0.0
3,23.25,0.0
4,23.25,2.0
5,23.25,0.0
6,23.25,0.0
7,23.25,0.0
8,23.25,0.0
9,23.25,0.0
10,23.25,0.0
11,23.25,0.0
12,23.25,0.0
1,23.5,0.0
2,23.5,1.0
3,23.5,0.0
4,23.5,0.0
5,23.5,0.0
6,23.5,0.0
7,23.5,0.0
8,23.5,0.0
9,23.5,0.0
10,23.5,1.0
11,23.5,0.0
12,23.5,0.0
1,23.75,0.0
2,23.75,0.0
3,23.75,0.0
4,23.75,0.0
5,23.75,0.0
6,23.75,0.0
7,23.75,0.0
8,23.75,0.0
9,23.75,0.0
10,23.75,0.0
11,23.75,0.0
12,23.75,0.0
1,24.0,0.0
2,24.0,0.0
3,24.0,0.0
4,24.0,0.0
5,24.0,0.0
6,24.0,0.0
7,24.0,0.0
8,24.0,0.0
9,24.0,0.0
10,24.0,0.0
11,24.0,0.0
12,24.0,0.0
1,24.25,0.0
2,24.25,0.0
3,24.25,0.0
4,24.25,1.0
5,24.25,0.0
6,24.25,0.0
7,24.25,0.0
8,24.25,0.0
9,24.25,0.0
10,24.25,0.0
11,24.25,0.0
12,24.25,0.0
1,24.5,0.0
2,24.5,0.0
3,24.5,0.0
4,24.5,0.0
5,24.5,0.0
6,24.5,0.0
7,24.5,0.0
8,24.5,0.0
9,24.5,0.0
10,24.5,0.0
11,24.5,0.0
12,24.5,0.0
1,24.75,0.0
2,24.75,0.0
3,24.75,0.0
4,24.75,0.0
5,24.75,0.0
6,24.75,0.0
7,24.75,0.0
8,24.75,0.0
9,24.75,0.0
10,24.75,0.0
11,24.75,0.0
12,24.75,0.0
1,25.0,0.0
2,25.0,2.0
3,25.0,0.0
4,25.0,0.0
5,25.0,0.0
6,25.0,0.0
7,25.0,0.0
8,25.0,0.0
9,25.0,0.0
10,25.0,1.0
11,25.0,0.0
12,25.0,0.0
1,25.25,0.0
2,25.25,0.0
3,25.25,0.0
4,25.25,0.0
5,25.25,0.0
6,25.25,0.0
7,25.25,0.0
8,25.25,0.0
9,25.25,0.0
10,25.25,0.0
11,25.25,0.0
12,25.25,0.0
1,25.5,0.0
2,25.5,0.0
3,25.5,0.0
4,25.5,1.0
5,25.5,0.0
6,25.5,0.0
7,25.5,0.0
8,25.5,0.0
9,25.5,0.0
10,25.5,0.0
11,25.5,0.0
12,25.5,0.0
1,25.75,0.0
2,25.75,0.0
3,25.75,0.0
4,25.75,0.0
5,25.75,0.0
6,25.75,0.0
7,25.75,0.0
8,25.75,0.0
9,25.75,0.0
10,25.75,0.0
11,25.75,0.0
12,25.75,0.0
1,26.0,0.0
2,26.0,0.0
3,26.0,0.0
4,26.0,1.0
5,26.0,0.0
6,26.0,0.0
7,26.0,0.0
8,26.0,0.0
9,26.0,0.0
10,26.0,0.0
11,26.0,0.0
12,26.0,0.0
